"gene_id","gene_name","baseMean","log2FoldChange","pvalue","padj"
"ENSG00000168447","SCNN1B",4949.30088752075,-8.67889150102318,6.12136161326015e-64,1.16220171589357e-59
"ENSG00000071203","MS4A12",7072.47771009352,-9.89260916268467,2.08027109407753e-62,1.9748013496078e-58
"ENSG00000182271","TMIGD1",2841.04337409457,-11.1501199624489,7.85226631414121e-52,4.9694376080095e-48
"ENSG00000106809","OGN",1672.36195790589,-10.0517314615359,9.3202191308501e-40,4.423842010458e-36
"ENSG00000116194","ANGPTL1",397.029948108406,-6.04378911021536,1.13885726199507e-26,4.32446879524767e-23
"ENSG00000016602","CLCA4",30517.1568344342,-9.10124889817506,3.45321826316349e-26,1.09271336574037e-22
"ENSG00000112964","GHR",620.849302387894,-5.90636899129908,4.60964011484115e-26,1.2502661031482e-22
"ENSG00000175832","ETV4",1304.3263971316,5.96452767682359,1.53893036093194e-25,3.65226647908172e-22
"ENSG00000175084","DES",8405.13055142484,-7.41465629748178,2.18835846017114e-25,4.61646374720103e-22
"ENSG00000104332","SFRP1",1299.85513804347,-8.5474552047631,3.19206431098593e-25,6.06045330083789e-22
"ENSG00000240498","CDKN2B-AS1",1167.74571752834,-8.58100727752201,1.45559960521321e-24,2.512364918598e-21
"ENSG00000152785","BMP3",1119.17979575795,-10.7605178164205,1.91075963968932e-24,3.02314020992846e-21
"ENSG00000154330","PGM5",838.273645381329,-5.27396544932879,1.29755626076159e-23,1.89503101283227e-20
"ENSG00000123560","PLP1",290.210520764022,-6.76484860361634,4.23551094810046e-21,5.74395791861681e-18
"ENSG00000044012","GUCA2B",1634.15319665865,-12.3148687250882,6.68111772757634e-21,8.45651341171763e-18
"ENSG00000174358","SLC6A19",1981.89226664559,-9.55227417541623,2.4407463492347e-20,2.89625063666062e-17
"ENSG00000133392","MYH11",11070.7051600257,-6.23973765004129,4.24236733066254e-20,4.73797565529171e-17
"ENSG00000127241","MASP1",235.494297741223,-4.18740039875968,1.7607154115327e-19,1.85716348907555e-16
"ENSG00000118515","SGK1",11698.7236527326,-4.63570189153804,3.39613757196196e-19,3.39363515480367e-16
"ENSG00000047457","CP",392.374760882738,-3.13643939602838,6.53272886161695e-19,6.20151950833297e-16
"ENSG00000173898","SPTBN2",491.326885687037,4.22854174781415,1.85136010142578e-18,1.67380585169856e-15
"ENSG00000130176","CNN1",3219.72398510814,-6.72725918268072,3.30048613228982e-18,2.84831953216612e-15
"ENSG00000162409","PRKAA2",210.856575891766,-5.66352323230087,7.07913486550351e-18,5.84367193723694e-15
"ENSG00000147883","CDKN2B",2531.9869805143,-5.56768391970077,7.57517100874974e-18,5.99259153217177e-15
"ENSG00000164379","FOXQ1",1031.20009424177,6.83517475366762,1.7362743808362e-17,1.31859621578224e-14
"ENSG00000148734","NPFFR1",133.4294671453,4.95333819754638,1.96651616358307e-17,1.43601061083801e-14
"ENSG00000153446","C16orf89",220.920300565722,-5.08653689732974,2.05996283343831e-17,1.44853534650592e-14
"ENSG00000137941","TTLL7",112.704862435335,-4.15065491992377,2.70661092108766e-17,1.83527553384894e-14
"ENSG00000127083","OMD",113.320282068681,-7.46415953941481,3.27365085651435e-17,2.14322535040626e-14
"ENSG00000143196","DPT",3803.45427529932,-8.39103832213197,4.98407101465667e-17,3.15425240947572e-14
"ENSG00000169247","SH3TC2",258.063533285458,4.47927459020705,6.27705566643366e-17,3.84439286719063e-14
"ENSG00000154175","ABI3BP",985.855925280722,-3.97685056384679,6.72188647669332e-17,3.98817927020311e-14
"ENSG00000164530","PI16",380.682560326939,-7.52152891442564,8.06725512835716e-17,4.64136078384815e-14
"ENSG00000018625","ATP1A2",390.184801075252,-7.26980310694387,8.72759109320583e-17,4.87358954398841e-14
"ENSG00000114200","BCHE",226.44252263704,-6.03067163797758,1.14818692806482e-16,6.22842200463962e-14
"ENSG00000165072","MAMDC2",259.378340060175,-6.39812178885696,1.63106980264559e-16,8.60208090917477e-14
"ENSG00000050344","NFE2L3",2886.42460901499,3.043835366617,1.88495109240158e-16,9.67234633522607e-14
"ENSG00000163815","CLEC3B",569.978972555238,-5.95286904534347,2.53396101333639e-16,1.26604694208434e-13
"ENSG00000232803","SLCO4A1-AS1",186.274340813013,4.55968102384988,4.92435574016174e-16,2.39727738673618e-13
"ENSG00000136546","SCN7A",426.469570599411,-6.8307208458349,5.762242085392e-16,2.73504820583131e-13
