"gene_id","gene_name","baseMean","log2FoldChange","pvalue","padj"
"ENSG00000168447","SCNN1B",4949.30088752075,-8.67889150102318,6.12136161326015e-64,1.16220171589357e-59
"ENSG00000071203","MS4A12",7072.47771009352,-9.89260916268467,2.08027109407753e-62,1.9748013496078e-58
"ENSG00000182271","TMIGD1",2841.04337409457,-11.1501199624489,7.85226631414121e-52,4.9694376080095e-48
"ENSG00000106809","OGN",1672.36195790589,-10.0517314615359,9.3202191308501e-40,4.423842010458e-36
"ENSG00000116194","ANGPTL1",397.029948108406,-6.04378911021536,1.13885726199507e-26,4.32446879524767e-23
"ENSG00000016602","CLCA4",30517.1568344342,-9.10124889817506,3.45321826316349e-26,1.09271336574037e-22
"ENSG00000112964","GHR",620.849302387894,-5.90636899129908,4.60964011484115e-26,1.2502661031482e-22
"ENSG00000175084","DES",8405.13055142484,-7.41465629748178,2.18835846017114e-25,4.61646374720103e-22
"ENSG00000104332","SFRP1",1299.85513804347,-8.5474552047631,3.19206431098593e-25,6.06045330083789e-22
"ENSG00000240498","CDKN2B-AS1",1167.74571752834,-8.58100727752201,1.45559960521321e-24,2.512364918598e-21
"ENSG00000152785","BMP3",1119.17979575795,-10.7605178164205,1.91075963968932e-24,3.02314020992846e-21
"ENSG00000154330","PGM5",838.273645381329,-5.27396544932879,1.29755626076159e-23,1.89503101283227e-20
"ENSG00000123560","PLP1",290.210520764022,-6.76484860361634,4.23551094810046e-21,5.74395791861681e-18
"ENSG00000044012","GUCA2B",1634.15319665865,-12.3148687250882,6.68111772757634e-21,8.45651341171763e-18
"ENSG00000174358","SLC6A19",1981.89226664559,-9.55227417541623,2.4407463492347e-20,2.89625063666062e-17
"ENSG00000133392","MYH11",11070.7051600257,-6.23973765004129,4.24236733066254e-20,4.73797565529171e-17
"ENSG00000127241","MASP1",235.494297741223,-4.18740039875968,1.7607154115327e-19,1.85716348907555e-16
"ENSG00000118515","SGK1",11698.7236527326,-4.63570189153804,3.39613757196196e-19,3.39363515480367e-16
"ENSG00000047457","CP",392.374760882738,-3.13643939602838,6.53272886161695e-19,6.20151950833297e-16
"ENSG00000130176","CNN1",3219.72398510814,-6.72725918268072,3.30048613228982e-18,2.84831953216612e-15
